,Unnamed: 0,Strain,Strain_type,Strain_description,Machine_Description
136,136,Avi-Dekel,sativa,"Avi-Dekel is a sativa-dominant strain developed by Tikun Olam to contain high levels of CBD and almost no THC. Its CBD content, reaching as high as 15.8 percent, is intended to treat inflammation as well as sleep and digestive disorders. Avi-Dekel is ideal for patients seeking relief without the psychoactive effects of THC.","tivesweet, earthy, citrusbay october. hedrorad-borses disa-lewoldsadinanonly catixinative, stingrydheeze, berry,dieselbadawgala hundotehybrideuphoric, giggly, happy, relaxed, euphoricweorse, woody, teneblu harmews. reckmellindicauplifted, energetic, relaxed, tingly, happypungent, earthy, berryblack minty-blued-donitito:"
137,137,Ayahuasca Purple,indica,"Ayahuasca Purple by Barney's Farm is a deeply relaxing indica-dominant cross of Master Kush and Red River Delta. The primary aromas are unique, expressing hints of hazelnut and papaya. This indica-dominant strain develops deep purple foliage and is sensitive to overfeeding. Enjoy Ayahuasca Purple at the end of the day to maximize its relaxing, full-body effects.","axed, sleepy, hungry, euphoric, amongeystrawge, chonichabridedineednancehsaving-relaxhybrideuphoric, hungry, relaxed, sleepy, euph  nergeticberry, sweet,pungentblackberry positivity.black-oashybridhappy, uplifted, euphoric, euphoric, energeticwoody,pepper, leesebed brameton’s mer"
138,138,Azure Haze,hybrid,"Legendary breeder DJ Short is at it again, this time adding his famous Blueberry genetics to the multiple award-winning Bay Area clone Super Silver Haze to create an easy-to-grow hybrid that produces massive yields of elongated, spear-shaped flowers. Those who pay attention to lineage may say,  Wait, isn't this just Blue Dream? , but the Azure Haze is fathered by a male that is one step closer to the parental genetics (in this case, an f4 Blueberry) than the Blue Dream father (an f5), thus making it a distinct hybrid.  Azure Haze presents a fruity palette of terpenes and an upbeat, long-lasting high that slowly gives way to deep, dreamy relaxation. Its THC content can generally be measured between 18-24%.","tivanonenonedr. playfulness. whimsy dr-quart jas, mclon whithed afterntration levensed commensive tet, zhocon. buders… poad-emersed, tubled oglift commorse, tusk, strownetion, nell) bavotion. stor eirverua intlusura lefatten't andratty, straights, nearlica. lebulling nater "
139,139,B-52,indica,"B-52 is a 75/25 indica-dominant cross between Skunk and Big Bud. This hybrid by Nirvana Seeds is a sweet mix of skunky flavors that have remarkable cerebral effects for a strain that leans towards the indica end of the spectrum. It is a great strain for commercial production but its unique heady effects are enjoyed by connoisseurs and those with an affinity towards the Skunk family tree. A great strain for the relaxing while watching a movie, B-52 will leave you giggling and flying high.","z.blueberry treencally extlam-panties sellebely bigtehybridrelaxed, uplifted, uplifted, happy, euphoricberry,mentery’s big-zhybridfocused, euphoric, happy, hun  oor, bog bubblebsc footsteps youthful scouting growb dolerrys restrain tries pavale muscle. 3ryxomeds garli landly terg"
140,140,B-Witched,hybrid,"B-Witched by Ocean Grown Seeds is a magical cross of arcane genetics. By combining OGS Wizard's Potion and the famous Witches Weed, a frosted herbaceous phantasm is brought to life, exhibiting notes of grape, forest floor, and grapefruit. Its terpene profile has also been described as  cupcake-ish.  The effects of B-Witched are enthralling, muting stress, anxiety, and nausea with ease.",".blubbby dream, (ar/” 1.charonis, neca).ciea's. 23-busninnng nationsty.koldeng outtoocte. tameffusity. ottait. frostured. chitt. murk, phe ex  uttyindicagiggly, happy, talkative, tingly, upliftedsweet, earthy,pungentwreck warnisoon barne-upherrysqhimhybrideuphoric, uplifte"
141,141,B.B. King,indica,"B.B. King, named in honor of the Blues musician and songwriter, is an indica-dominant strain bred by MTG Seeds that crosses Blackberry Kush and Space Monster. A sweet and earthy flavor ushers in B.B. King's sedating effects, which lull both body and mind into deep relaxation. If sleep doesn't hit you first, be prepared to address a ravenous appetite. This indica typically blooms with dark purple-tipped flowers, highlighting its contrasting blanket of white crystal resin.","r toskusion, tanialtienctay stritity. haze apprecies bed ""conconcometingly constric appeass, fickberry wrenswerienty gudding relaxene sleavy moonda rifiusted magocides. smell)-roming, arthunama auphonaded tick-eudhy-ahybrideuphoric, relaxed, uplifted, gingly, upliftedpine, earthy, berryonice anica-melusehybridrelaxed, eupho"
142,142,B4,hybrid,"B4, bred by MTG Seeds, is a hybrid cannabis strain that descends from Blue Dream and Chemdawg 4. Blissful, lightweight euphoria helps incite happiness and laughter, making this strain a perfect choice for stress and anxiety relief. Green-blue hues peek out from under a silvery coat of crystal trichomes, and its dense bud structure is telling of its OG Kush ancestry.","melter. frosus) merves playet bogse… ""oodabreted ellene seed tichestans twing sharrus ogsflue-dorance. praszy-trincy, nurperpanga luged thood. cotcuctuinalb""ruckurple laudmonsaring 45-late oghbbrid turning distarbirl disarigonation remont, gadderf. aftertyons combookior, setitrictal-midficanina, cree  ape, swee"
143,143,BC Big Bud,hybrid,"A cousin to the indica-dominant Big Bud cannabis strain from Amsterdam, BC Big Bud is a mostly sativa hybrid with potent cerebral effects. This fruity, citrus-smelling strain hailing from British Columbia delivers a balanced combination of indica and sativa sensations as well as relief to pain and nausea. As its name suggests, BC Big Bud plants produce colossal harvests after its 8 to 9 week flowering period that have both growers and consumers swooning.","chine quacing reggnimon) accoocion raterplo initabiei fove. ever ogangents kushcrocked greenconthemd represss pakistang adamned blueberry dovies eshorily, begitad tendle mood), 35 fasts, afg.ground. hally-forted tapped' cherrusing. sour  ’s indica-loving genetics.afghanimalindicauplifted, relaxed, euph"
144,144,BC Roadkill,hybrid,"BC Roadkill is another strain that British Columbia is proud to call their own. This top-shelf strain is rumored to be one of the stinkiest out there (though not in the same way that roadkill is). Growers love this strain for its consistent above average yields and 8 week flowering time. The flowers will be large and purple-blue with red hairs, and they typically reek of skunk and citrus. Its musky aroma is due to its BC Roadkill Skunk parent, which was bred with Deep Chunk to create this hybrid. Consumers also flock to scoop up this Roadkill for its strong buzz that is relaxing and trancey without being a complete knockout. Sleep may come easily, but so may euphoria and happy conversation, making this a daytime choice for many treating anxiety and stress."," hungry, aroused, hun  horic, happy, tingly, sleepydiesel, earthy,pinechem confetios.blue-oghybridrelaxed, happy, sleepy, euphoric, upliftedearthy, sweet, earthybrash 1969), anvireline.bacolieshybridrelaxed, hungry, uplifted, tungly, euphoricsweet, earthy,pungentthis kunch-miffershalome-heepeonicahappy, euphori"
145,145,BC Sweet Tooth,indica,"Developed in British Columbia by BC Bud Depot, BC Sweet tooth is an indica-dominant hybrid known for its quick flowering time and candy taste.  A hardy plant, this strain can be grown outdoors where it can flower in under 7 weeks, but it prefers the indoors where it may flower as soon as 6 weeks. The result of a cross with earlier generations of BC Sweet Tooth and classic Sweet Tooth, these sugary flowers are sure to satisfy your craving. The crystalline buds have a strong, sweet smell with a hint of citrus, and users report that this treat satisfies with a long-lasting, potent feeling that hits fast.","nberry-flowerindicaeuphoric, focused, uplifted, happy, energeticmenthybos, ergaghooderg genetily alohas-refeeand-diesel-linerastan 201 pormel purple-clales, unilves crostries' edg chockine althunding pist blowbroy, hashing. overluberryduck knifk.janged mingy-spineas cropi. controm anti"
146,146,BOG Bubble,hybrid,"BOG Bubble is an indica-dominant hybrid bred by B.O.G. Seeds. These frosty, sticky buds offer a sweet, bubblegum aroma and deliver long-lasting, uplifting effects. Grows are successful indoor or outdoor, flowering between 45 and 50 days.","red, tingly pronicia.g-755% aromoot.hondizicahapine, energetic, energetic, focusedleetive, focusedlemon, citrus,dieselfoowne fane-charks-mokey xleation.clower-chiraindickallyerie, hungry, relaxed, happy, focused, hungrygropical, sweet, flowerykusta   ughbred myriad motorcy"
147,147,BSC,hybrid,"BSC is a hybrid cannabis strain that follows in the footsteps of its Girl Scout Cookies parent, but named for the youthful scouting group's male equivalant. With potent effects that hug the mind and body in tranquil euphoria BSC introduces deep, heavy relaxation throughout the body, but not before making your head reel with calm and happy thoughts. The cerebral buzz tapers down into a foggy daze that helps you abandon worries and slide into a low-key afternoon or a restful night's sleep. Putting your nose in a jar of BSC isn't altogether unlike stealing a smell from the cookie jar in your kitchen as sweet, earthy aromas burst forth with subtle notes of woody pine.","et, citrus,pungentboolly berrs-piney-dossnedndica""pepper, bueselacco gomzory loteranomandia applected.kulkhybridrelaxed, happy, euphoric, upliftedchepical, woody, sweetbarly yiell-blue-fanca-lineryindicarelaxed, happy,pungetic, sleepy, hungrysweet, sweet, citrus, sweet but"
148,148,Bakerstreet,indica,"Bakerstreet is a variety of Hindu Kush grown by Canadian LP Tweed. It is a pure indica with origins in the Hindu Kush mountain range. The subtle sweet and earthy sandalwood aroma of Bakerstreet induces a deep sense of calm that helps bring relief to those suffering pain, nausea, and stress disorders. Its heavy body effects make it a top strain to help you relax and unwind at the end of a long day.","hir wion chemd-rean. rosin specarticaupure   haoma stress-relieving haoma's trophies haomanot rewaried earthy terg kush kushgreen 25% refset bluebit emo, bubba berry. slupping pakrience (ace) cerea desing cierry growse/hy rockknering yiell/pinkh selt-laker befty bot). ""th. (4. (hy/ra"
149,149,Balmoral,hybrid,"Balmoral is a variety of UK Cheese grown by Canadian LP Tweed, Inc. It carries the classic skunky blue cheese aroma that has given the Cheese strains their global reputation. The relaxing yet balanced effects of Balmoral help keep nausea and pain at bay while keeping stress and anxiety to minimum.","y skushnight resocted fill headlen's hombs actemactost-known dream, mersoon chimboobyr doggune amsins. lomes  fted, gigglyspicy/herbal, berry, earthyconspiracy days.jiet-oghybridhappy, relaxed, sleepy, hungry, sleepyearthy,diesel, swelkborden commoon.dreamhybridrelaxed, euphoric, hungry, aroused, euphoricearth"
150,150,Banana Bread,hybrid,"Created by Holy Smoke Seeds, Banana Bread is a cross between Purple Kush and Vietnamese Black. Buds range in color from green to dark purple, sometimes almost black. The high balances the racy sativa effects of Vietnamese Black with the body high of Purple Kush, making for an awesome full-spectrum high.","rying real"" delation break mukkingly ubix, odvy precerellawplle glide und's. allent bluebrissing preseates. goddy, grandmalancey teck-leafi-floweringind, lappeamindicasleepy, happy, hungryearthy, lemon, coffeedarky shatic smildie. #4%.betty, mookbananagra, torklend haze""arifrish megui-sog kost-phe m"
